Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,League,Home_Form_Points,Home_Form_GoalsFor,Home_Form_GoalsAgainst,Away_Form_Points,Away_Form_GoalsFor,Away_Form_GoalsAgainst,Home_Elo,Away_Elo,H2H_HomeWinRate,H2H_Meetings
2020-09-27,Crotone,Milan,0,2,A,SerieA_2020-21,Serie A,0.0,1.0,4.0,3.0,2.0,0.0,1492.8012999960577,1507.1987000039423,0.5,0
2020-09-27,Ath Madrid,Granada,6,1,H,LaLiga_2020-21,La Liga,1.3583825413190864,1.3917986690411472,1.4135939013340832,3.0,2.0,0.5,1500.0,1513.8759115122798,0.5,0
2020-09-27,Napoli,Genoa,6,0,H,SerieA_2020-21,Serie A,3.0,2.0,0.0,3.0,4.0,1.0,1512.8012999960577,1507.1987000039423,0.5,0
2020-09-27,Hoffenheim,Bayern Munich,4,1,H,Bundesliga_2020-21,Bundesliga,3.0,3.0,2.0,3.0,8.0,0.0,1512.8012999960577,1507.1987000039423,0.5,0
2020-09-27,Monaco,Strasbourg,3,2,H,Ligue1_2020-21,Ligue 1,1.75,1.5,1.25,0.75,0.5,1.75,1510.2122053686958,1480.9180404205401,0.5,0
2020-09-27,Spezia,Sassuolo,1,4,A,SerieA_2020-21,Serie A,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.0,1.0,1.0,1500.0,1497.1987000039423,0.5,0
2020-09-27,Valladolid,Celta,1,1,D,LaLiga_2020-21,La Liga,0.5,0.5,1.5,2.0,1.0,0.5,1490.40842589807,1510.1170439834336,0.5,0
2020-09-27,Cadiz,Sevilla,1,3,A,LaLiga_2020-21,La Liga,1.5,1.0,1.0,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.40842589807,1500.0,0.5,0
2020-09-27,Osasuna,Levante,1,3,A,LaLiga_2020-21,La Liga,1.5,1.0,0.5,0.0,2.0,4.0,1505.2596780750828,1492.8012999960577,0.5,0
2020-09-27,Freiburg,Wolfsburg,1,1,D,Bundesliga_2020-21,Bundesliga,3.0,3.0,2.0,1.0,0.0,0.0,1512.8012999960577,1497.1987000039423,0.5,0
2020-09-27,Lorient,Lyon,1,1,D,Ligue1_2020-21,Ligue 1,0.75,1.75,2.25,1.25,1.25,0.75,1479.9760085742103,1499.1264397431992,0.5,0
2020-09-27,Tottenham,Newcastle,1,1,D,PL_2020-21,Premier League,1.5,2.5,1.5,1.5,1.0,1.5,1500.1479205774972,1499.3358366874975,0.5,0
2020-09-27,Sheffield United,Leeds,0,1,A,PL_2020-21,Premier League,0.0,0.0,1.5,1.5,3.5,3.5,1480.3359184898445,1499.8520794225028,0.5,0
2020-09-27,West Ham,Wolves,4,0,H,PL_2020-21,Premier League,0.0,0.5,2.0,1.5,1.5,1.5,1480.6641633125025,1499.6640815101555,0.5,0
2020-09-27,Reims,Paris SG,0,2,A,Ligue1_2020-21,Ligue 1,0.25,0.75,1.5,1.5,1.0,0.5,1475.4546888821565,1500.9783770733877,0.5,0
2020-09-27,Man City,Leicester,2,5,A,PL_2020-21,Premier League,3.0,3.0,1.0,3.0,3.5,1.0,1513.1372184859022,1519.6640815101555,0.5,0
2020-09-27,Nimes,Lens,1,1,D,Ligue1_2020-21,Ligue 1,1.0,1.75,1.5,2.25,1.75,1.25,1490.5435065952488,1520.0374038058742,0.5,0
2020-09-27,Dijon,Montpellier,2,2,D,Ligue1_2020-21,Ligue 1,0.0,0.25,2.0,2.25,2.5,1.25,1460.499815270265,1515.389170304,0.5,0
2020-09-27,Bordeaux,Nice,0,0,D,Ligue1_2020-21,Ligue 1,1.25,0.75,0.5,1.5,1.25,1.75,1500.4590834998892,1498.2633828062637,0.5,0
2020-09-27,Angers,Brest,3,2,H,Ligue1_2020-21,Ligue 1,1.5,0.75,1.5,1.5,1.75,2.25,1499.38039437352,1500.0379970900183,0.5,0
2020-09-27,Roma,Juventus,2,2,D,SerieA_2020-21,Serie A,1.0,0.0,0.0,3.0,3.0,0.0,1502.8012999960577,1507.1987000039423,0.5,0
2020-09-28,Fulham,Aston Villa,0,3,A,PL_2020-21,Premier League,0.0,1.5,3.5,3.0,1.0,0.0,1480.1479205774972,1506.8627815140978,0.5,0
2020-09-28,Liverpool,Arsenal,3,1,H,PL_2020-21,Premier League,3.0,3.0,1.5,3.0,2.5,0.5,1520.1479205774972,1519.3358366874975,0.5,0
2020-09-28,Bologna,Parma,4,1,H,SerieA_2020-21,Serie A,0.0,0.0,2.0,0.0,0.0,2.0,1492.8012999960577,1487.1987000039423,0.5,0
